year,pac_name,country_of_origin,parent_company,dems,repubs,total
2000,BASF Corp,Germany,BASF Group,31500,185750,219250
2000,Bayer Corp,Germany,Bayer AG,57500,188000,245500
2000,Bear Creek Corp (Yamanouchi Consumer),Japan,Yamanouchi Consumer,1500,3000,4500
2000,BHP Holdings,Australia,Broken Hill Proprietary,1500,2750,4250
2000,Bird-Johnson Co (Rolls-Royce PLC),UK,Rolls-Royce PLC,4000,2500,6500
2000,Blue Circle America (Blue Circle Industries),UK,Blue Circle Industries,5000,26500,31500
2000,BOC Group,UK,BOC Group,0,0,0
2000,BP (BP),UK,BP PLC,3000,0,3000
2000,BP North America (BP),UK,BP PLC,56500,147500,204000
2000,Brinson Partners,Switzerland,UBS AG,0,0,0
2000,Brown & Williamson Tobacco,UK,British American Tobacco,116500,243050,363550
2000,Budd Co,Germany,ThyssenKrupp AG,1000,13000,14000
2000,Burns International Services (Securitas AB),Sweden,Securitas AB,0,500,500
2000,Burson-Marsteller (WPP Group),UK,WPP Group,46500,37000,83500
2000,Business Men's Assurance Co,Italy,Assicurazioni Generali,2000,2000,4000
2000,Cable & Wireless USA,UK,Cable & Wireless PLC,27000,40000,67000
2000,Case New Holland,Italy,Fiat SPA,8500,50500,59000
2000,Celanese Americas Corp,Germany,Celanese AG,16500,26850,43850
2000,Central Soya Co,Italy,Montedison,1000,9500,10500
2000,CGU Corp,UK,CGU PLC,500,0,500
2000,Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,4000,15500,19500
2000,CIBC Oppenheimer,Canada,Canadian Imperial Bank of Commerce,0,0,0
2000,Citizens Financial Group (Royal Bank of Scotland),UK,Royal Bank of Scotland Group,3000,1000,4000
2000,Cominco American,Canada,Cominco Ltd,0,5000,5000
2000,Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands,Royal Dutch Shell,3500,23500,27500
2000,Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,500,18000,18500
2000,Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,99857,126000,225857
2000,CSR America,Australia,CSR Ltd,9000,93750,102750
2000,DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,166650,283450,450100
2000,Deutsche Bank North America,Germany,Deutsche Bank AG,67000,77000,144000
2000,Equitable Life Assurance Society (AXA),France,AXA,62000,71000,133000
2000,Equitable of Iowa Companies (ING Group),Netherlands,ING Group,3700,4500,8200
2000,Essroc Corp,Italy,Italcementi Group,0,2500,2500
2000,Excel Communications,Canada,BCE Inc,11500,4000,15500
2000,Experian (GUS plc),UK,GUS plc,750,4500,5250
2000,Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services,4000,48594,52594
2000,Fireman's Fund Insurance (Allianz),Germany,Allianz AG Holding,17050,46850,63900
2000,Food Lion,Belgium,Delhaize Group,13750,11250,25000
2000,Fortis Inc,Belgium,Fortis AG,2500,6000,8500
2000,GEC-Marconi Hazeltine (BAE Systems),UK,BAE Systems,0,0,0
2000,Genentech Inc (Roche Holdings),Switzerland,Roche Group,62750,60500,123250
2000,Gilman Paper,Mexico,Grupo Industrial Durango,0,12412,12412
2000,GKN Corp,UK,GKN PLC,0,4775,4775
2000,GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,109998,494761,604759
2000,GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,35750,99750,135500
2000,Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,7315,4750,12065
2000,Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,5000,41000,46000
2000,Greyhound Lines,Canada,Laidlaw,20000,16500,36500
2000,Guinness/UDV North America (Diageo PLC),UK,Diageo PLC,48500,49000,97500
2000,Heublein UDV (Diageo plc),UK,Diageo PLC,500,1000,1500
2000,Hill & Knowlton (WPP Group),UK,WPP Group,21000,21500,42500
2000,Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,48000,95249,143249
2000,Holnam Inc,Switzerland,Holderbank Financiere Glaris,12000,40250,52250
2000,HSBC USA,UK,HSBC Holdings,3500,3660,7160
2000,ING US (ING Group),Netherlands,ING Group,25000,61500,86500
2000,Instinet Corp,UK,Reuters Group,17250,30550,47800
2000,JA Jones Construction (Philipp Holzmann AG),Germany,Philipp Holzmann AG,1000,250,1250
2000,Jackson National Life Insurance,UK,Prudential PLC,19500,57600,77100
2000,Joseph E Seagram & Sons (Vivendi Universal),France,Vivendi Universal,50000,67822,117822
2000,Kennecott Energy,UK,Rio Tinto PLC,12000,59045,71045
2000,LaFarge Corp,France,Lafarge SA,10100,11450,21550
2000,LaSalle National Corp (ABN AMRO),Netherlands,ABN Amro Holding,12375,10700,23075
2000,Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,2000,11500,13500
2000,Lehigh Portland Cement,Germany,HeidelbergCement AG,3000,8500,11500
2000,Lone Star Industries,Germany,Dyckerfhoff,1000,6000,7000
2000,Loral Space & Communications,UK,Loral Space & Communications,86000,21000,107000
2000,Louisville Gas & Electric,UK,PowerGen,0,5000,5000
2000,Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,7500,29500,37000
2000,Mallinckrodt Pharmaceuticals (Tyco International),Ireland,Tyco International,55500,93900,149400
2000,Massachusetts Financial Services,Canada,Sun Life Financial Services,11500,9500,21000
2000,Master Builders Inc,Germany,E.ON AG,0,2000,2000
2000,Michigan National Bank,Australia,National Australia Bank,1000,15500,16500
2000,National Grid USA (National Grid plc),UK,National Grid plc,33000,19000,52000
2000,National Steel Corp,Japan,NKK Corp,0,0,0
2000,NCS Pearson (Pearson PLC),UK,Pearson PLC,300,300,600
2000,Nestle USA (Nestle SA),Switzerland,Nestle,13000,37500,52000
2000,News America Publishing,Australia,News Corp,31000,51500,82500
2000,Novartis Corp (Novartis AG),Switzerland,Novartis AG,33733,124236,157969
2000,Oldcastle Materials,Ireland,CRH PLC,28000,53841,81841
2000,ONDEO Nalco (SUEZ SA),France,Suez Lyonnaise des Eaux,4750,31000,35750
2000,Oppenheimer Capital (Allianz),Germany,Allianz AG Holding,0,0,0
2000,Organon Inc,Netherlands,Akzo Nobel,250,2000,2250
2000,PacifiCorp,UK,Scottish Power,4250,7250,11500
2000,PaineWebber,Switzerland,UBS AG,29950,56000,85950
2000,Peter Pan Seafoods,Japan,Nichiro Corp,0,1700,1700
2000,Philips Electronics North America,Netherlands,Philips Electronics,6500,49200,55700
2000,Pilkington North America,UK,Pilkington Group,1000,12500,13500
2000,Pillsbury Co (Diageo PLC),UK,Diageo PLC,8500,24500,33000
2000,Pinkerton Tobacco,Sweden,Swedish Match AB,8000,40750,49750
2000,Reed Elsevier Inc,UK,Reed Elsevier Group,4250,6000,10250
2000,Reliastar Financial (ING Group),Netherlands,ING Group,21715,32381,54096
2000,Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,15218,39411,54629
2000,Roquette America,France,Roquette Freres,3000,750,3750
2000,Sagem Morpho Inc,France,Sagem SA,2000,0,2000
2000,Sea-Land Service (AP Moller-Maersk),Denmark,AP Moller-Maersk,24500,49350,74100
2000,Security Life of Denver (ING Group),Netherlands,ING Group,4100,9500,13600
2000,Serono Inc,Switzerland,Serono SA,5000,2000,7000
2000,Shaklee Corp (Yamanouchi Consumer),Japan,Yamanouchi Pharmaceutical,0,0,0
2000,Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands,Royal Dutch/Shell Group of Companies,29500,89100,118600
2000,Siemens Corp (Siemens AG),Germany,Siemans AG,4000,6000,10000
2000,Siemens ElectroCom (Siemens AG),Germany,Siemens AG,1000,3500,4500
2000,Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,50000,28750,78750
2000,Standard Federal Bank (ABN AMRO),Netherlands,ABN Amro Holding,0,2750,2750
2000,Syngenta Corp,Switzerland,Syngenta AG,0,0,0
2000,Syntex (USA) Inc (Roche Holdings),Switzerland,Roche Holdings,6250,2500,8750
2000,Tate & Lyle North American Sugars (Tate & Lyle),UK,Tate & Lyle,2100,0,2100
2000,Timex Corp,Netherlands,Timex Group,0,0,0
2000,Tractebel,Belgium,Tractabel,0,2000,2000
2000,TransAmerica (Aegon NV),Netherlands,Aegon NV,8000,23000,31000
2000,UnionBanCal Corp,Japan,Mitsubishi UFJ Financial Group,7750,2000,9750
2000,United Water Resources (SUEZ SA),France,SUEZ SA,7450,1585,9035
2000,Universal Studios (Vivendi Universal),France,Vivendi Universal,65500,83250,148750
2000,US Surgical Corp (Tyco International),Ireland,Tyco International,0,7100,7100
2000,USFilter Corp (Vivendi Universal),France,Vivendi Universal,15000,2250,17250
2000,Vodafone Group,UK,Vodafone Group,14600,35250,49850
2000,Westfield Corp,Australia,Westfield Group of Australia,19350,10500,29850
2000,Westinghouse Electric (BNFL PLC),UK,BNFL PLC,8000,19000,27000
2000,Westinghouse Electric (BNFL PLC),UK,British Nuclear Fuels PLC,250,0,250
2000,Wexler Group (WPP Group),UK,WPP Group,53000,68093,121093
2000,Zenith Electronics,South Korea,LG Electronics,0,0,0
2000,Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services,25250,55537,80787
2002,7-Eleven,Japan,Ito-Yokado,2528,4542,7070
2002,ABB Group,Switzerland,Asea Brown Boveri,18750,15750,34500
2002,Accenture,UK,Accenture plc,94242,126705,220947
2002,ACE INA,UK,ACE Group,31500,45750,77250
2002,Acuson Corp (Siemens AG),Germany,Siemens AG,0,0,0
2002,AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,12500,16000,28500
2002,AEGON USA (AEGON NV),Netherlands,Aegon NV,73500,91000,164500
2002,AIM Management Group,UK,AMVESCAP,8500,16000,24500
2002,Air Liquide America,France,L'Air Liquide SA,2000,650,2650
2002,Alcatel USA,France,Alcatel,4500,9250,13750
2002,Alcon Laboratories (Nestle SA),Switzerland,Nestle,1000,1000,2000
2002,Allfirst Financial,Ireland,Allied Irish Banks,3820,2500,6320
2002,Allianz of America (Allianz),Germany,Allianz AG Holding,19100,41650,60750
2002,Allied Domecq Spirits & Wine,UK,Allied Domecq,6000,26250,32250
2002,American Water Works Co (RWE AG),Germany,RWE AG,12850,20050,32900
2002,AMP Inc (Tyco International),Ireland,Tyco International,0,0,0
2002,Anglogold Ltd,UK,Anglo American PLC,3000,8850,11850
2002,APL Ltd,Singapore,Neptune Orient Lines Ltd,5250,10110,15360
2002,Aqua-Chem Inc,France,Lyonnaise des Eaux-Dumez Group,0,0,0
2002,ASARCO LLC,Mexico,Nueva Grupo Mexico,0,2000,2000
2002,AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca,38050,87750,125800
2002,ATOFINA Chemicals (TotalFinaElf),France,TOTAL FINA ELF,7100,19500,26600
2002,ATOFINA Petrochemicals (TotalFinaElf),France,TotalFinaElf,1000,1500,2500
2002,Austin Nichols & Co,France,Pernod Ricard SA,0,0,0
2002,Aventis Pasteur USA (Aventis),France,Aventis,75790,61250,137040
2002,Aventis Pharmaceuticals (Aventis),France,Aventis,24500,91500,116000
2002,Aventis Pharmaceuticals Products (Aventis),France,Aventis,0,15267,15267
2002,Babcock & Wilcox (McDermott International),Panama,McDermott International,10000,20500,30500
2002,Bacardi USA,UK,Bacardi Ltd,0,0,0
2002,BAE Systems North America (BAE Systems),UK,BAE Systems,149028,241248,390276
2002,Barrick Goldstrike Mines,Canada,Barrick Gold Corp,33500,41500,75000
2002,BASF Corp,Germany,BASF Group,41500,163000,204500
2002,Bayer Corp (Bayer AG),Germany,Bayer AG,73000,187500,260500
2002,Bayer CropScience (Bayer AG),Germany,Bayer AG,15500,20500,36000
2002,Bear Creek Corp (Yamanouchi Consumer),Japan,Yamanouchi Consumer,5050,5100,10150
2002,BHP Holdings,Australia,BHP Billiton,400,623,1023
2002,Bird-Johnson Co (Rolls-Royce PLC),UK,Rolls-Royce PLC,500,2500,3000
2002,Blue Circle America (Lafarge SA),France,Lafarge SA,1000,7500,8500
2002,BOC Group,UK,BOC Group,0,0,0
2002,Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,10500,13500,24000
2002,BP North America,UK,BP PLC,65750,109250,175000
2002,Bridgestone Americas,Japan,Bridgestone Corp,24200,36000,60200
2002,Brown & Williamson Tobacco,UK,British American Tobacco,44000,198324,242324
2002,Budd Co,Germany,ThyssenKrupp AG,1000,0,1000
2002,Burns International Services (Securitas AB),Sweden,Securitas AB,0,0,0
2002,Burson-Marsteller (WPP Group),UK,WPP Group,38040,52500,91540
2002,Business Men's Assurance Co,Italy,Assicurazioni Generali,1500,1000,2500
2002,BWX Technologies (McDermott International),Panama,McDermott International,10050,28600,38650
2002,Cable & Wireless USA,UK,Cable & Wireless PLC,24000,28100,52100
2002,Case New Holland,Italy,Fiat SPA,4500,42000,46500
2002,Celanese Americas Corp,Germany,Celanese AG,22500,52000,74500
2002,Central Soya Co,France,Cereol,2000,9300,11300
2002,CGU Corp,UK,CGNU PLC,0,0,0
2002,Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,7500,22000,29500
2002,CIBC Oppenheimer,Canada,Canadian Imperial Bank of Commerce,0,0,0
2002,Citizens Financial Group (Royal Bank of Scotland),UK,Royal Bank of Scotland Group,6250,1000,7250
2002,Cooper Industries,Ireland,Cooper Industries Ltd,0,187500,187500
2002,Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands,Royal Dutch Shell,0,0,0
2002,Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,135812,162500,298312
2002,Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,0,0,0
2002,DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,196590,286500,483090
2002,Diageo North America (Diageo PLC),UK,Diageo PLC,24000,37000,61000
2002,E ON US,Germany,Eon AG,500,4350,4850
2002,Equitable Life Assurance Society (AXA),France,AXA,39500,65000,104500
2002,Essroc Corp,Italy,Italcementi Group,1500,1100,2600
2002,Experian (GUS plc),UK,GUS plc,0,1000,1000
2002,Experian (GUS Plc),UK,GUS plc,0,0,0
2002,Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services,7300,29350,36650
2002,First Hawaiian Bank (BNP Paribas),France,BNP Paribas,5200,0,5200
2002,Food Lion,Belgium,Delhaize Group,10000,27750,37750
2002,Fortis Inc,Belgium,Fortis AG,21000,58000,79000
2002,Foster Wheeler,Switzerland,Foster Wheeler PLC,1000,7800,8800
2002,Gambro Healthcare,Sweden,Gambro AB,0,4000,4000
2002,Genentech Inc (Roche Holdings),Switzerland,Roche Group,71500,56750,128250
2002,Getronics Government Solutions (BAE Systems),UK,BAE Systems,1000,0,1000
2002,GKN Corp,UK,GKN PLC,0,630,630
2002,GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,193923,575119,769042
2002,GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,500,3500,4000
2002,Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,12675,9150,21825
2002,Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,4050,31500,35550
2002,Greyhound Lines,Canada,Laidlaw,24500,15000,39500
2002,Heineken USA (Heineken NV),Netherlands,Heineken NV,8000,4000,12000
2002,Hill & Knowlton (WPP Group),UK,WPP Group,17500,12500,30000
2002,Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,60300,41500,101800
2002,Holcim US,Switzerland,Holcim Ltd,24213,47625,71838
2002,HSBC USA,UK,HSBC Holdings,3000,2330,5330
2002,ING US (ING Group),Netherlands,ING Group,52000,97395,149395
2002,Instinet Corp,UK,Reuters Group,23500,44000,67500
2002,JA Jones Construction (Philipp Holzmann AG),Germany,Philipp Holzmann AG,1400,1500,2900
2002,Jackson National Life Insurance,UK,Prudential PLC,21000,50821,71821
2002,Joseph E Seagram & Sons (Diageo PLC),UK,Diageo PLC,10300,16000,26300
2002,Kennecott Energy,UK,Rio Tinto PLC,21000,64246,85246
2002,LaFarge North America (Lafarge SA),France,Lafarge SA,15000,27500,42500
2002,LaSalle Bank (ABN AMRO),Netherlands,ABN Amro Holding,18000,14250,32250
2002,Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,500,500,1000
2002,Lehigh Cement,Germany,HeidelbergCement AG,3500,12750,16250
2002,Lone Star Industries,Germany,Dyckerfhoff,4000,6500,10500
2002,Loral Space & Communications,UK,Loral Space & Communications,74600,22000,96600
2002,Maersk Inc (AP Moller-Maersk),Denmark,AP Moller-Maersk,16500,37000,53500
2002,Mallinckrodt Pharmaceuticals (Tyco International),Ireland,Tyco International,9000,15000,24000
2002,Massachusetts Financial Services,Canada,Sun Life Financial Services,1000,0,1000
2002,Master Builders Inc,Germany,E.ON AG,0,0,0
2002,McDermott International (McDermott International),Panama,McDermott International,4500,16000,20500
2002,Michigan National Bank (ABN AMRO),Netherlands,ABN AMRO,0,500,500
2002,Miller Brewing (SABMiller),UK,SABMiller PLC,4000,0,4000
2002,National Grid USA (National Grid plc),UK,National Grid plc,33500,27950,61450
2002,National Steel Corp,Japan,NKK Corp,0,0,0
2002,Nestle Purina PetCare (Nestle SA),Switzerland,Nestle SA,5500,21000,26500
2002,Nestle USA (Nestle SA),Switzerland,Nestle,15000,34250,49250
2002,Nestle Waters North America (Nestle SA),Switzerland,Nestle,3000,4900,7900
2002,News America Publishing (News Corporation),Australia,News Corp,48000,39710,87710
2002,Novartis Corp (Novartis AG),Switzerland,Novartis AG,43250,132305,175555
2002,Oldcastle Materials,Ireland,CRH PLC,57300,52300,109600
2002,ONDEO Nalco (SUEZ SA),France,Suez Lyonnaise des Eaux,3000,10100,13100
2002,Oppenheimer Capital (Allianz),Germany,Allianz AG Holding,0,0,0
2002,Organon Inc,Netherlands,Akzo Nobel,0,0,0
2002,PacifiCorp,UK,Scottish Power,2500,7500,10000
2002,Pennsylvania-American Water Co (RWE AG),Germany,RWE AG,0,0,0
2002,Peter Pan Seafoods,Japan,Nichiro Corp,350,3500,3850
2002,Philips Electronics North America,Netherlands,Philips Electronics,10100,59758,69858
2002,Pilkington North America,UK,Pilkington Group,1000,1500,2500
2002,Pinkerton Tobacco,Sweden,Swedish Match AB,6500,33995,40495
2002,RBC Centura Banks,Canada,Royal Bank of Canada,5750,7750,13500
2002,Reed Elsevier Inc,UK,Reed Elsevier Group,14500,20000,34500
2002,Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,42750,82699,125449
2002,Roquette America,France,Roquette Freres,125,0,125
2002,Sagem Morpho Inc,France,Sagem SA,7500,0,7500
2002,SAP America,Germany,SAP AG,9000,11100,20100
2002,Sensormatic Electronics (Tyco International),Ireland,Tyco International,0,2328,2328
2002,Serono Inc,Switzerland,Serono SA,2000,5000,7000
2002,SES Americom (SES Global),Luxembourg,SES Global,3000,2500,5500
2002,Shaklee Corp (Yamanouchi Consumer),Japan,Yamanouchi Pharmaceutical,1000,0,1000
2002,Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands,Royal Dutch-Shell,31290,96500,127790
2002,Siemens Corp (Siemens AG),Germany,Siemans AG,31999,84999,116998
2002,Siemens Dematic Postal Automation (Siemens AG),Germany,Siemens AG,1500,1000,2500
2002,Smith & Nephew,UK,Smith & Nephew Plc,9000,10000,19000
2002,Sodexho Inc,France,Sodexho Alliance,2250,1100,3350
2002,Solvay Pharmaceuticals,Belgium,Solvay SA,0,0,0
2002,Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,73500,55000,128500
2002,Standard Federal Bank (ABN AMRO),Netherlands,ABN Amro Holding,3250,9850,13100
2002,Syngenta Corp,Switzerland,Syngenta AG,14000,20500,34500
2002,Syntex (USA) Inc (Roche Holdings),Switzerland,Roche Holdings,8000,2000,10000
2002,T-Mobile USA,Germany,Deutsche Telekom AG,50000,37000,87000
2002,Teck Cominco American,Canada,Teck Cominco,1000,2000,3000
2002,Timex Corp,Netherlands,Timex Group,0,0,0
2002,Tractebel (Tractebel),Belgium,Tractabel,0,0,0
2002,Tractebel North America (Tractebel),Belgium,Tractabel,0,1000,1000
2002,TransAmerica (Aegon NV),Netherlands,Aegon NV,0,0,0
2002,UBS Americas,Switzerland,UBS AG,58400,52000,111400
2002,UnionBanCal Corp,Japan,Mitsubishi UFJ Financial Group,3500,10000,13500
2002,United Water Resources (SUEZ SA),France,SUEZ SA,14650,3500,18150
2002,Universal Studios (Vivendi Universal),France,Vivendi Universal,65500,71000,136500
2002,US Surgical Corp (Tyco International),Ireland,Tyco International,0,0,0
2002,Wackenhut Corp (Group 4 Falck),Denmark,Group 4 Falck,4250,16000,20250
2002,Wackenhut Corp (Group 4 Falck),Denmark,Group 4 Falck,0,0,0
2002,Westfield Corp,Australia,Westfield Group of Australia,21619,2000,23619
2002,Westinghouse Electric (BNFL PLC),UK,British Nuclear Fuels PLC,500,4750,5250
2002,Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,34000,59500,93500
2002,Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services,32000,66182,98182
2004,7-Eleven,Japan,Ito-Yokado,0,750,750
2004,ABB Group,Switzerland,Asea Brown Boveri,6500,10000,16500
2004,Accenture,UK,Accenture plc,54124,142947,197071
2004,ACE INA,UK,ACE Ltd,39500,130400,169900
2004,AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,500,11000,11500
2004,AEGON USA,Netherlands,Aegon NV,72000,102500,174500
2004,AIM Management Group,UK,AMVESCAP,5000,13500,18500
2004,Air Liquide America,France,L'Air Liquide SA,4750,8175,12925
2004,Alcatel USA,France,Alcatel,1000,11500,12500
2004,Alcon Laboratories (Nestle SA),Switzerland,Nestle,8500,23720,32220
2004,Allfirst Financial,Ireland,Allied Irish Banks,0,0,0
2004,Allianz of America (Allianz),Germany,Allianz AG Holding,40400,76350,116750
2004,Allied Domecq Spirits & Wine,UK,Allied Domecq,12000,31500,43500
2004,American Medical Response (Onex Corp),Canada,Onex Corp,0,0,0
2004,American Water Works Co (RWE AG),Germany,RWE AG,1000,0,1000
2004,Anglogold Ashanti,South Africa,Anglogold Ashanti,3000,3500,6500
2004,APL Ltd,Singapore,Neptune Orient Lines Ltd,11000,5500,16500
2004,Arcadis G&M,Netherlands,Arcadis NV,1200,10000,11200
2004,AREVA Inc,France,Areva Group,2000,16500,18500
2004,ASARCO LLC,Mexico,Nueva Grupo Mexico,0,0,0
2004,AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca,61630,157500,219130
2004,ATOFINA Chemicals (TOTAL SA),France,TOTAL SA,2500,19500,22000
2004,Austin Nichols & Co,France,Pernod Ricard SA,2500,3000,5500
2004,Aventis Pharmaceuticals (Sanofi-Aventis),France,Sanofi-Aventis,25515,83750,109265
2004,AXA Equitable Life Insurance (AXA),France,AXA,39000,106500,145500
2004,Babcock & Wilcox (McDermott International),Panama,McDermott International,7000,19000,26000
2004,Bacardi USA,UK,Bacardi Ltd,4000,9973,13973
2004,BAE Systems Information Technology (BAE Systems),UK,BAE Systems,0,0,0
2004,BAE Systems North America (BAE Systems),UK,BAE Systems,134100,168050,302150
2004,Ballard Power Systems,Canada,Ballard Power Systems,5000,0,5000
2004,Barrick Goldstrike Mines,Canada,Barrick Gold Corp,14000,46000,60000
2004,BASF Corp,Germany,BASF Group,10500,81500,92000
2004,Bayer Corp,Germany,Bayer AG,59000,191500,250500
2004,BNFL Inc (BNFL PLC),UK,British Nuclear Fuels PLC,1000,22500,23500
2004,BOC Group,UK,BOC Group,0,0,0
2004,Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,4500,14525,19025
2004,BP North America,UK,BP PLC,83500,136499,219999
2004,Bridgestone Americas,Japan,Bridgestone Corp,34000,73250,107250
2004,Budd Co,Germany,ThyssenKrupp AG,3000,12827,15827
2004,Burson-Marsteller (WPP Group),UK,WPP Group,29500,46250,78250
2004,Business Men's Assurance Co,Italy,Assicurazioni Generali,0,4065,4065
2004,Buzzi Unicem USA,Italy,Buzzi Unicem SpA,0,5500,5500
2004,BWX Technologies (McDermott International),Panama,McDermott International,15500,59999,75499
2004,California Portland Cement Co,Japan,Taiheiyo Cement Co,2150,16500,18650
2004,Case New Holland,Italy,Fiat SPA,5500,46500,52000
2004,CGI-AMS,Canada,CGI Group,0,0,0
2004,CGU Corp,UK,CGNU PLC,2000,0,2000
2004,Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,5070,16000,21070
2004,CIBC World Markets,Canada,Canadian Imperial Bank of Commerce,0,0,0
2004,Citizens Financial Group (Royal Bank of Scotland),UK,Royal Bank of Scotland Group,20400,19400,39800
2004,Cooper Industries,Ireland,Cooper Industries Ltd,0,193000,198000
2004,Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands,Royal Dutch/Shell Group of Companies,0,0,0
2004,Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,143250,236000,379250
2004,DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,135220,304880,440100
2004,Diageo North America,UK,Diageo PLC,18000,21500,39500
2004,Dial Corp,Germany,Henkel KGaA,9000,19500,28500
2004,DIRECTV Group (News Corporation),Australia,News Corp,5000,4000,9000
2004,Domnick Hunter Inc,UK,Domnick Hunter Group,0,1500,1500
2004,E ON US,Germany,Eon AG,1000,18500,19500
2004,EmCare Inc (Onex Corp),Canada,Onex Corp,0,0,0
